Experimento,Caso,Camada_Oculta,Alpha,Max_Epocas,Erro_Minimo,Tempo_Original_Segundos,Tempo_Ruidoso_Segundos
exp_186,1,50,0.01,1500,0.005,13.2223,0.3418
exp_187,1,50,0.01,2000,0.05,4.0666,0.3485
exp_188,1,50,0.01,2000,0.01,9.8931,0.3845
exp_189,1,50,0.01,2000,0.005,13.4440,0.4667
exp_190,1,50,0.05,1000,0.05,0.9891,0.3688
exp_191,1,50,0.05,1000,0.01,2.4363,0.3834
exp_192,1,50,0.05,1000,0.005,3.5528,0.3609
exp_193,1,50,0.05,1500,0.05,0.8126,0.4650
exp_194,1,50,0.05,1500,0.01,2.3387,0.3537
exp_195,1,50,0.05,1500,0.005,3.6346,0.3501
exp_196,1,50,0.05,2000,0.05,1.0797,0.3323
exp_197,1,50,0.05,2000,0.01,2.5705,0.3454
exp_198,1,50,0.05,2000,0.005,2.7251,0.3747
exp_199,1,50,0.1,1000,0.05,0.6023,0.3456
exp_200,1,50,0.1,1000,0.01,1.4550,0.3391
exp_201,1,50,0.1,1000,0.005,2.0679,0.3466
exp_202,1,50,0.1,1500,0.05,0.5214,0.3118
exp_203,1,50,0.1,1500,0.01,1.3156,0.3515
exp_204,1,50,0.1,1500,0.005,1.7398,0.3520
exp_205,1,50,0.1,2000,0.05,0.5254,0.3460
exp_206,1,50,0.1,2000,0.01,1.2904,0.3451
exp_207,1,50,0.1,2000,0.005,1.9770,0.3654
exp_208,1,50,0.2,1000,0.05,0.4630,0.4674
exp_209,1,50,0.2,1000,0.01,1.1645,0.3738
exp_210,1,50,0.2,1000,0.005,1.2224,0.3855
exp_211,1,50,0.2,1500,0.05,0.3546,0.4167
exp_212,1,50,0.2,1500,0.01,0.9886,0.4053
exp_213,1,50,0.2,1500,0.005,1.0038,0.4482
exp_214,1,50,0.2,2000,0.05,0.2453,0.4414
exp_215,1,50,0.2,2000,0.01,0.7910,0.3510
exp_216,1,50,0.2,2000,0.005,0.9862,0.3302
exp_217,2,15,0.01,1000,0.05,4.5042,0.4149
exp_218,2,15,0.01,1000,0.01,18.4801,0.3256
exp_219,2,15,0.01,1000,0.005,10.2231,0.3655
exp_220,2,15,0.01,1500,0.05,3.9796,0.3604
exp_221,2,15,0.01,1500,0.01,26.5730,0.3320
exp_222,2,15,0.01,1500,0.005,13.9997,0.3282
exp_223,2,15,0.01,2000,0.05,3.7864,0.3616
exp_224,2,15,0.01,2000,0.01,14.4327,0.3632
exp_225,2,15,0.01,2000,0.005,20.1985,0.3725
exp_226,2,15,0.05,1000,0.05,1.1609,0.5358
exp_227,2,15,0.05,1000,0.01,4.8003,0.3461
exp_228,2,15,0.05,1000,0.005,7.3844,0.3583
exp_229,2,15,0.05,1500,0.05,1.0737,0.4023
exp_230,2,15,0.05,1500,0.01,6.3394,0.3911
exp_231,2,15,0.05,1500,0.005,48.3995,0.3531
exp_232,2,15,0.05,2000,0.05,1.2603,0.5058
exp_233,2,15,0.05,2000,0.01,4.5225,0.3699
exp_234,2,15,0.05,2000,0.005,10.3638,0.3267
exp_235,2,15,0.1,1000,0.05,0.4239,0.3624
exp_236,2,15,0.1,1000,0.01,2.7266,0.3477
exp_237,2,15,0.1,1000,0.005,4.5609,0.3248
exp_238,2,15,0.1,1500,0.05,0.6191,0.3531
exp_239,2,15,0.1,1500,0.01,2.0243,0.3720
exp_240,2,15,0.1,1500,0.005,4.3054,0.3596
exp_241,2,15,0.1,2000,0.05,0.5088,0.4251
exp_242,2,15,0.1,2000,0.01,2.1396,0.5029
exp_243,2,15,0.1,2000,0.005,5.9509,0.3213
exp_244,2,15,0.2,1000,0.05,0.5377,0.3966
exp_245,2,15,0.2,1000,0.01,2.0363,0.5114
exp_246,2,15,0.2,1000,0.005,2.5982,0.3514
exp_247,2,15,0.2,1500,0.05,0.4060,0.3934
exp_248,2,15,0.2,1500,0.01,1.6860,0.3881
exp_249,2,15,0.2,1500,0.005,2.8397,0.3706
exp_250,2,15,0.2,2000,0.05,0.3980,0.3674
exp_251,2,15,0.2,2000,0.01,1.9876,0.3878
exp_252,2,15,0.2,2000,0.005,2.7662,0.3919
exp_253,2,30,0.01,1000,0.05,3.4306,0.3512
exp_254,2,30,0.01,1000,0.01,14.6661,0.4116
exp_255,2,30,0.01,1000,0.005,32.8358,0.3021
exp_256,2,30,0.01,1500,0.05,3.9924,0.3346
exp_257,2,30,0.01,1500,0.01,13.8179,0.3582
exp_258,2,30,0.01,1500,0.005,24.7537,0.3361
exp_259,2,30,0.01,2000,0.05,4.2588,0.3493
exp_260,2,30,0.01,2000,0.01,12.4319,0.3319
exp_261,2,30,0.01,2000,0.005,20.5297,0.3707
exp_262,2,30,0.05,1000,0.05,1.0567,0.4960
exp_263,2,30,0.05,1000,0.01,3.7554,0.3425
exp_264,2,30,0.05,1000,0.005,5.1906,0.4029
exp_265,2,30,0.05,1500,0.05,1.1595,0.4903
exp_266,2,30,0.05,1500,0.01,4.6000,0.3505
exp_267,2,30,0.05,1500,0.005,4.4132,0.4033
exp_268,2,30,0.05,2000,0.05,0.9800,0.3400
exp_269,2,30,0.05,2000,0.01,3.2001,0.4450
exp_270,2,30,0.05,2000,0.005,5.9931,0.3395
exp_271,2,30,0.1,1000,0.05,0.7343,0.3598
exp_272,2,30,0.1,1000,0.01,1.9875,0.5340
exp_273,2,30,0.1,1000,0.005,2.4964,0.4300
exp_274,2,30,0.1,1500,0.05,0.5417,0.3978
exp_275,2,30,0.1,1500,0.01,1.7758,0.3735
exp_276,2,30,0.1,1500,0.005,4.6816,0.3512
exp_277,2,30,0.1,2000,0.05,0.5139,0.3377
exp_278,2,30,0.1,2000,0.01,2.4588,0.3482
exp_279,2,30,0.1,2000,0.005,3.4465,0.4221
exp_280,2,30,0.2,1000,0.05,0.4576,0.3167
exp_281,2,30,0.2,1000,0.01,1.2354,0.3091
exp_282,2,30,0.2,1000,0.005,2.2937,0.3361
exp_283,2,30,0.2,1500,0.05,0.3885,0.3718
exp_284,2,30,0.2,1500,0.01,1.4043,0.3648
exp_285,2,30,0.2,1500,0.005,2.1745,0.3607
exp_286,2,30,0.2,2000,0.05,0.5507,0.4529
exp_287,2,30,0.2,2000,0.01,1.1440,0.3872
exp_288,2,30,0.2,2000,0.005,3.4681,0.3337
exp_289,2,50,0.01,1000,0.05,3.7696,0.3462
exp_290,2,50,0.01,1000,0.01,15.3220,0.3498
exp_291,2,50,0.01,1000,0.005,14.8615,0.3428
exp_292,2,50,0.01,1500,0.05,3.6389,0.3849
exp_293,2,50,0.01,1500,0.01,12.6672,0.5217
exp_294,2,50,0.01,1500,0.005,21.5886,0.3626
exp_295,2,50,0.01,2000,0.05,3.9369,0.4404
exp_296,2,50,0.01,2000,0.01,14.2001,0.3777
exp_297,2,50,0.01,2000,0.005,19.2925,0.3620
exp_298,2,50,0.05,1000,0.05,1.0183,0.3965
exp_299,2,50,0.05,1000,0.01,4.0319,0.3513
exp_300,2,50,0.05,1000,0.005,4.4020,0.4770
exp_301,2,50,0.05,1500,0.05,0.7822,0.3646
exp_302,2,50,0.05,1500,0.01,6.6728,0.4056
exp_303,2,50,0.05,1500,0.005,4.0718,0.3988
exp_304,2,50,0.05,2000,0.05,0.8905,0.3796
exp_305,2,50,0.05,2000,0.01,4.4921,0.3605
exp_306,2,50,0.05,2000,0.005,5.0066,0.4300
exp_307,2,50,0.1,1000,0.05,0.5324,0.3218
exp_308,2,50,0.1,1000,0.01,2.0546,0.3627
exp_309,2,50,0.1,1000,0.005,2.7834,0.3991
exp_310,2,50,0.1,1500,0.05,0.4228,0.3594
exp_311,2,50,0.1,1500,0.01,1.9056,0.3394
exp_312,2,50,0.1,1500,0.005,3.0979,0.4994
exp_313,2,50,0.1,2000,0.05,0.8231,0.4696
exp_314,2,50,0.1,2000,0.01,2.0242,0.4430
exp_315,2,50,0.1,2000,0.005,3.6335,0.4010
exp_316,2,50,0.2,1000,0.05,0.3650,0.3607
exp_317,2,50,0.2,1000,0.01,1.1062,0.3357
exp_318,2,50,0.2,1000,0.005,2.4124,0.4124
exp_319,2,50,0.2,1500,0.05,0.3208,0.3937
exp_320,2,50,0.2,1500,0.01,1.0662,0.4698
exp_321,2,50,0.2,1500,0.005,1.6290,0.5228
exp_322,2,50,0.2,2000,0.05,0.5310,0.3558
exp_323,2,50,0.2,2000,0.01,1.0378,0.3634
exp_324,2,50,0.2,2000,0.005,2.0155,0.3424
